"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,-1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,-3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3,-4,-5,-7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,1,0,1,-7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,-3,1,3,-7,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,-4,0,0,-5,-3,-1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3,1,2,0,-4,3,-1,-4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,-2,-2,-3,-3,-3,-3,-4,-4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3,-4,-4,-5,-7,-2,-4,-5,-3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2,2,1,-1,-7,0,-1,-3,-2,-2,-4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2,-1,-3,-4,-6,-1,-4,-4,-4,1,3,0,8,NA,NA,NA,NA,NA,NA,NA,NA
-4,-4,-4,-7,-6,-6,-6,-5,-2,0,0,-6,-1,8,NA,NA,NA,NA,NA,NA,NA
1,-1,-2,-2,-3,0,-1,-2,-1,-3,-3,-2,-3,-5,6,NA,NA,NA,NA,NA,NA
1,-1,1,0,-1,-2,-1,1,-2,-2,-4,-1,-2,-3,1,3,NA,NA,NA,NA,NA
1,-2,0,-1,-3,-2,-2,-1,-3,0,-3,-1,-1,-4,-1,2,4,NA,NA,NA,NA
-7,1,-5,-8,-8,-6,-8,-8,-5,-7,-5,-5,-7,-1,-7,-2,-6,12,NA,NA,NA
